#Day, Part A, Part B
1,18,20
2,18,18
3,21,21
4,18,19
5,18,25
6,17,17
7,21,22
8,18,22
9,19,19
10,28,30
11,57,58
12,34,270
13,23,23
14,0.712,10.6
15,18,19
16,23,471
17,279,909
18,16,16
19,,
20,,
21,,
22,,
23,,
24,,
25,,0
